,DefiningSite,Latitude,Longitude,Elevation,LandUse,LocationSetting,StateName,CountyName,CountyCode,City,CBSAName,Time,Date,CurrentAQIValue,CurrentPollutant
0,06-001-0001,37.87687,-122.266913,15,RESIDENTIAL,URBAN AND CENTER CITY,California,Alameda,1,Berkeley,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,35,OZONE
1,06-001-0002,37.533243,-121.958813,22,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Fremont,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,37,OZONE
2,06-001-0003,37.6849,-121.7659,150,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Livermore,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,35,OZONE
3,06-001-0004,37.800484,-122.266358,38,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,35,OZONE
4,06-001-0006,37.710229,-122.116899,43,RESIDENTIAL,SUBURBAN,California,Alameda,1,Castro Valley,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,37,OZONE
5,06-001-0013,37.864767,-122.302741,2.7,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Not in a City,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,41,PM2.5
6,06-001-0015,37.701222,-121.903019,101,RESIDENTIAL,SUBURBAN,California,Alameda,1,Pleasanton,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,35,OZONE
7,06-001-2001,37.654456,-122.031547,290,RESIDENTIAL,RURAL,California,Alameda,1,Hayward,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,37,OZONE
8,06-001-5001,37.718442,-122.160997,23,INDUSTRIAL,URBAN AND CENTER CITY,California,Alameda,1,San Leandro,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,35,OZONE
9,06-001-6002,37.59369,-121.87622,143,RESIDENTIAL,SUBURBAN,California,Alameda,1,Sunol,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,37,OZONE
11,06-007-0001,39.73515,-121.841897,599,RESIDENTIAL,URBAN AND CENTER CITY,California,Butte,7,Chico,"Chico, CA",12 PM PST, Mar 13,31,OZONE
12,06-007-0004,39.316556,-121.667749,0,AGRICULTURAL,RURAL,California,Butte,7,Gridley,"Chico, CA",12 PM PST, Mar 13,27,PM2.5
13,06-007-0006,39.776551,-121.607473,0,RESIDENTIAL,RURAL,California,Butte,7,Paradise,"Chico, CA",12 PM PST, Mar 13,32,OZONE
14,06-007-1001,39.512386,-121.555248,53,COMMERCIAL,URBAN AND CENTER CITY,California,Butte,7,Oroville,"Chico, CA",12 PM PST, Mar 13,32,OZONE
15,06-007-3001,39.402944,-121.719974,0,AGRICULTURAL,RURAL,California,Butte,7,Biggs,"Chico, CA",12 PM PST, Mar 13,27,PM2.5
21,06-013-0003,37.949924,-122.357193,23,COMMERCIAL,SUBURBAN,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,40,OZONE
22,06-013-0004,37.957424,-122.370249,7,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,North Richmond,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,40,OZONE
25,06-013-1002,38.006311,-121.641918,-2,AGRICULTURAL,RURAL,California,Contra Costa,13,Bethel Island,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,25,PM2.5
26,06-013-1003,37.9642,-122.3403,15,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,San Pablo,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,40,OZONE
29,06-013-2007,37.743649,-121.934188,119,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,San Ramon,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,35,OZONE
32,06-015-0001,41.752893,-124.199525,10,COMMERCIAL,RURAL,California,Del Norte,15,Crescent City,"Crescent City, CA",12 PM PST, Mar 13,8,PM2.5
34,06-015-0003,41.845113,-123.979242,119,COMMERCIAL,RURAL,California,Del Norte,15,Gasquet,"Crescent City, CA",12 PM PST, Mar 13,8,PM2.5
35,06-015-2003,41.513803,-123.996283,13,RESIDENTIAL,RURAL,California,Del Norte,15,Klamath,"Crescent City, CA",12 PM PST, Mar 13,8,PM2.5
36,06-017-0002,38.727681,-120.826047,582,MOBILE,SUBURBAN,California,El Dorado,17,Placerville,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,36,OZONE
37,06-017-0004,38.916575,-120.001015,1904,RESIDENTIAL,SUBURBAN,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",11 AM PST, Mar 13,22,PM2.5
38,06-017-2002,38.673793,-120.942162,462,RESIDENTIAL,RURAL,California,El Dorado,17,Shingle Springs,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,36,OZONE
39,06-017-2003,38.842126,-120.407631,1,BLIGHTED AREAS,RURAL,California,El Dorado,17,Riverton,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,36,OZONE
40,06-019-0001,36.145789,-120.359316,213,RESIDENTIAL,SUBURBAN,California,Fresno,19,Coalinga,"Fresno, CA",12 PM PST, Mar 13,33,OZONE
41,06-019-0002,36.737172,-119.753754,91,RESIDENTIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA",12 PM PST, Mar 13,30,PM2.5
42,06-019-0010,37.13828,-119.267624,0,FOREST,RURAL,California,Fresno,19,Shaver Lake,"Fresno, CA",12 PM PST, Mar 13,30,PM2.5
43,06-019-1001,36.868282,-120.462675,44,UNKNOWN,UNKNOWN,California,Fresno,19,Firebaugh,"Fresno, CA",12 PM PST, Mar 13,33,PM2.5
44,06-019-1002,36.341062,-120.105699,87,AGRICULTURAL,RURAL,California,Fresno,19,Five Points,"Fresno, CA",12 PM PST, Mar 13,23,OZONE
45,06-019-2008,36.198672,-120.101096,113.08,RESIDENTIAL,RURAL,California,Fresno,19,Huron,"Fresno, CA",12 PM PST, Mar 13,23,OZONE
46,06-019-3002,36.607171,-119.540683,0,AGRICULTURAL,URBAN AND CENTER CITY,California,Fresno,19,Parlier,"Fresno, CA",12 PM PST, Mar 13,30,PM2.5
47,06-019-5001,36.819449,-119.716433,86,RESIDENTIAL,URBAN AND CENTER CITY,California,Fresno,19,Clovis,"Fresno, CA",12 PM PST, Mar 13,30,PM2.5
49,06-023-0001,40.77596,-124.190062,20,INDUSTRIAL,URBAN AND CENTER CITY,California,Humboldt,23,Eureka,"Eureka-Arcata-Fortuna, CA",12 PM PST, Mar 13,11,PM10
50,06-023-0002,40.869017,-124.085062,16,COMMERCIAL,URBAN AND CENTER CITY,California,Humboldt,23,Arcata,"Eureka-Arcata-Fortuna, CA",12 PM PST, Mar 13,11,PM10
51,06-023-0010,40.884573,-123.99256,0,COMMERCIAL,RURAL,California,Humboldt,23,Blue Lake,"Eureka-Arcata-Fortuna, CA",12 PM PST, Mar 13,11,PM10
52,06-023-1001,41.049847,-124.15118,53,UNKNOWN,RURAL,California,Humboldt,23,Trinidad,"Eureka-Arcata-Fortuna, CA",12 PM PST, Mar 13,11,PM10
53,06-023-2001,41.289,-123.857,150,FOREST,RURAL,California,Humboldt,23,Not in a city,"Eureka-Arcata-Fortuna, CA",12 PM PST, Mar 13,41,PM2.5
54,06-025-0001,32.979213,-115.530267,34,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,Brawley,"El Centro, CA",12 PM PST, Mar 13,22,PM10
55,06-025-0004,32.673948,-115.503884,0,RESIDENTIAL,SUBURBAN,California,Imperial,25,Calexico,"El Centro, CA",12 PM PST, Mar 13,37,OZONE
56,06-025-1002,32.792278,-115.565829,0,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,El Centro,"El Centro, CA",12 PM PST, Mar 13,40,OZONE
57,06-025-2001,33.177818,-115.610824,0,AGRICULTURAL,RURAL,California,Imperial,25,Calipatria,"El Centro, CA",12 PM PST, Mar 13,40,OZONE
58,06-025-4001,33.118934,-115.816389,0,AGRICULTURAL,RURAL,California,Imperial,25,Westmorland,"El Centro, CA",12 PM PST, Mar 13,33,OZONE
60,06-027-0001,37.35354,-118.400943,1260,MOBILE,URBAN AND CENTER CITY,California,Inyo,27,Bishop,"Bishop, CA",12 PM PST, Mar 13,39,OZONE
62,06-027-0004,36.609003,-118.057809,1128,RESIDENTIAL,SUBURBAN,California,Inyo,27,Lone Pine,"Bishop, CA",12 PM PST, Mar 13,53,PM10
63,06-027-0005,36.8166,-118.211207,1196,DESERT,RURAL,California,Inyo,27,Independence,"Bishop, CA",12 PM PST, Mar 13,53,PM10
64,06-027-0010,37.024377,-118.225932,1173,UNKNOWN,RURAL,California,Inyo,27,Big Pine,"Bishop, CA",12 PM PST, Mar 13,39,OZONE
66,06-027-0018,35.799673,-117.872294,766,RESIDENTIAL,RURAL,California,Inyo,27,Pearsonville,"Bishop, CA",12 PM PST, Mar 13,16,PM10
67,06-027-0027,37.407244,-118.345308,1500,COMMERCIAL,RURAL,California,Inyo,27,Laws,"Bishop, CA",12 PM PST, Mar 13,39,OZONE
68,06-027-1002,36.483824,-117.867858,1097,UNKNOWN,UNKNOWN,California,Inyo,27,Keeler,"Bishop, CA",12 PM PST, Mar 13,53,PM10
69,06-027-1014,36.043833,-117.947021,0,DESERT,RURAL,California,Inyo,27,Coso Junction,"Bishop, CA",12 PM PST, Mar 13,16,PM10
70,06-029-0001,35.383592,-119.017598,123,INDUSTRIAL,SUBURBAN,California,Kern,29,Bakersfield,"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
71,06-029-0005,35.573287,-118.528976,705,UNKNOWN,UNKNOWN,California,Kern,29,Miracle Hot Springs (Hobo Hot Springs),"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
72,06-029-0006,35.312186,-119.617624,324,INDUSTRIAL,RURAL,California,Kern,29,McKittrick,"Bakersfield, CA",12 PM PST, Mar 13,33,OZONE
73,06-029-0008,35.051454,-119.40262,289,RESIDENTIAL,SUBURBAN,California,Kern,29,Maricopa,"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
74,06-029-0011,35.050551,-118.147294,853,MOBILE,RURAL,California,Kern,29,Mojave,"Bakersfield, CA",12 PM PST, Mar 13,39,OZONE
75,06-029-0012,35.630234,-117.669786,723,MOBILE,URBAN AND CENTER CITY,California,Kern,29,Ridgecrest,"Bakersfield, CA",12 PM PST, Mar 13,32,OZONE
76,06-029-0013,35.651343,-117.826457,759,COMMERCIAL,RURAL,California,Kern,29,Inyokern,"Bakersfield, CA",12 PM PST, Mar 13,32,OZONE
77,06-029-0230,35.431068,-119.021767,168,RESIDENTIAL,SUBURBAN,California,Kern,29,Oildale,"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
79,06-029-1002,35.003587,-117.650337,747,COMMERCIAL,RURAL,California,Kern,29,Boron,"Bakersfield, CA",12 PM PST, Mar 13,39,OZONE
80,06-029-1005,35.133299,-118.425918,1167,AGRICULTURAL,RURAL,California,Kern,29,Tehachapi,"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
82,06-029-2003,35.1433,-119.465675,300,RESIDENTIAL,RURAL,California,Kern,29,Taft,"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
83,06-029-5001,35.208295,-118.785374,145,AGRICULTURAL,RURAL,California,Kern,29,Arvin,"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
84,06-029-6001,35.503587,-119.272606,126,COMMERCIAL,SUBURBAN,California,Kern,29,Shafter,"Bakersfield, CA",12 PM PST, Mar 13,31,OZONE
85,06-029-9001,34.821922,-118.887598,1,MOBILE,RURAL,California,Kern,29,Lebec,"Bakersfield, CA",12 PM PST, Mar 13,42,PM2.5
86,06-029-9901,35.69868,-118.203013,914,FOREST,RURAL,California,Kern,29,Onyx,"Bakersfield, CA",12 PM PST, Mar 13,16,PM10
87,06-031-0002,36.09884,-119.559568,62,AGRICULTURAL,RURAL,California,Kings,31,Corcoran,"Hanford-Corcoran, CA",12 PM PST, Mar 13,23,OZONE
88,06-031-1001,36.282172,-119.645128,79,COMMERCIAL,URBAN AND CENTER CITY,California,Kings,31,Hanford,"Hanford-Corcoran, CA",12 PM PST, Mar 13,45,PM2.5
89,06-031-1002,36.007175,-119.959855,75,AGRICULTURAL,RURAL,California,Kings,31,Kettleman City,"Hanford-Corcoran, CA",12 PM PST, Mar 13,23,OZONE
90,06-033-0002,39.155724,-122.845549,415,AGRICULTURAL,RURAL,California,Lake,33,Kelseyville,"Clearlake, CA",12 PM PST, Mar 13,43,PM2.5
91,06-033-0003,39.172112,-122.906107,413,AGRICULTURAL,RURAL,California,Lake,33,Upper Lake,"Clearlake, CA",12 PM PST, Mar 13,43,PM2.5
92,06-033-1001,38.956287,-122.647485,403,COMMERCIAL,URBAN AND CENTER CITY,California,Lake,33,Clearlake Highlands,"Clearlake, CA",12 PM PST, Mar 13,43,PM2.5
93,06-033-2001,39.048762,-122.916082,413,RESIDENTIAL,SUBURBAN,California,Lake,33,Lakeport,"Clearlake, CA",12 PM PST, Mar 13,43,PM2.5
94,06-033-3010,38.77453,-122.6995,435,FOREST,RURAL,California,Lake,33,Middletown,"Clearlake, CA",12 PM PST, Mar 13,29,PM2.5
95,06-033-3011,38.84846,-122.75797,736,FOREST,RURAL,California,Lake,33,Cobb,"Clearlake, CA",12 PM PST, Mar 13,29,PM2.5
96,06-035-1001,40.412396,-120.633283,1280,RESIDENTIAL,SUBURBAN,California,Lassen,35,Susanville,"Susanville, CA",12 PM PST, Mar 13,23,PM2.5
97,06-037-0001,34.104175,-118.409246,195,UNKNOWN,UNKNOWN,California,Los Angeles,37,Beverly Hills,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
98,06-037-0002,34.1365,-117.92391,183,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Azusa,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,37,PM2.5
99,06-037-0003,34.10391,-117.868943,206,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Charter Oak,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,37,PM2.5
101,06-037-0005,34.136687,-117.860887,3,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Glendora,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,37,PM2.5
102,06-037-0017,34.064186,-118.207285,102,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
104,06-037-0019,33.342251,-118.323128,3,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Avalon,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
105,06-037-0031,33.786111,-118.246389,0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,West Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
106,06-037-0201,33.886405,-118.268128,0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Carson,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
110,06-037-1001,34.181959,-118.328122,180,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Burbank,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,56,PM2.5
111,06-037-1003,34.133074,-118.124227,221,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,40,PM2.5
112,06-037-1201,34.19925,-118.53276,226,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Reseda,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,56,PM2.5
113,06-037-1301,33.92899,-118.21071,27,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,56,PM2.5
114,06-037-1302,33.901389,-118.205,27,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Compton,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,56,PM2.5
115,06-037-1401,34.386109,-118.532586,383,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Santa Clarita,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,30,OZONE
116,06-037-1403,33.954952,-118.055768,44,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Santa Fe Springs,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,29,OZONE
117,06-037-1405,34.006389,-118.193056,53,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Vernon,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
120,06-037-1801,33.856412,-118.384509,62,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Redondo Beach,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
121,06-037-1901,34.005575,-118.480069,34,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Santa Monica,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
122,06-037-1902,34.106397,-118.414246,191,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Santa Monica Mountains National Recreation Area,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
123,06-037-2001,33.920022,-118.406732,53,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,El Segundo,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
124,06-037-2002,34.186395,-118.245908,737,RESIDENTIAL,RURAL,California,Los Angeles,37,Glendale,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,56,PM2.5
125,06-037-2101,34.105841,-118.06868,128,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Temple City (Rudell),"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,40,PM2.5
126,06-037-2201,33.831692,-118.325618,46,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Torrance,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
128,06-037-4002,33.82376,-118.18921,6,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
129,06-037-4009,33.793713,-118.171019,8,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Signal Hill,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
130,06-037-5001,33.92288,-118.37026,21,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
131,06-037-5501,33.94156,-118.3658,0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lennox,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
132,06-037-7001,34.712206,-118.140073,709,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,39,OZONE
134,06-037-9006,34.556935,-118.112573,841,DESERT,RURAL,California,Los Angeles,37,Palmdale,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,39,OZONE
135,06-039-0001,36.954669,-120.037383,82,COMMERCIAL,URBAN AND CENTER CITY,California,Madera,39,Madera,"Madera, CA",12 PM PST, Mar 13,33,PM2.5
136,06-041-0001,37.97231,-122.520004,3,COMMERCIAL,URBAN AND CENTER CITY,California,Marin,41,San Rafael,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,40,OZONE
137,06-041-0002,38.122979,-122.90944,76,FOREST,RURAL,California,Marin,41,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,41,PM2.5
138,06-041-2001,38.015136,-122.689531,75,RESIDENTIAL,RURAL,California,Marin,41,Lagunitas-Forest Knolls,"San Francisco-Oakland-Hayward, CA",12 PM PST, Mar 13,40,OZONE
141,06-045-0001,39.435168,-123.80946,35,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Fort Bragg,"Ukiah, CA",12 PM PST, Mar 13,24,OZONE
142,06-045-0003,39.15098,-123.196369,218,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Ukiah,"Ukiah, CA",12 PM PST, Mar 13,43,PM2.5
143,06-045-0009,39.402942,-123.350288,1377,MOBILE,SUBURBAN,California,Mendocino,45,Willits,"Ukiah, CA",12 PM PST, Mar 13,31,PM2.5
144,06-047-0001,37.060778,-120.849637,41,COMMERCIAL,URBAN AND CENTER CITY,California,Merced,47,Los Banos,"Merced, CA",12 PM PST, Mar 13,32,PM2.5
145,06-047-0004,37.302163,-120.481579,51,AGRICULTURAL,URBAN AND CENTER CITY,California,Merced,47,Merced,"Merced, CA",12 PM PST, Mar 13,32,PM2.5
152,06-053-0001,36.521905,-121.806061,41,MOBILE,SUBURBAN,California,Monterey,53,Carmel Valley,"Salinas, CA",12 PM PST, Mar 13,33,OZONE
153,06-053-0002,36.48187,-121.73333,131,RESIDENTIAL,SUBURBAN,California,Monterey,53,Carmel Valley Village,"Salinas, CA",12 PM PST, Mar 13,33,OZONE
154,06-053-0004,36.699652,-121.634626,25,COMMERCIAL,SUBURBAN,California,Monterey,53,Salinas,"Salinas, CA",12 PM PST, Mar 13,41,OZONE
155,06-053-0005,36.227466,-121.116584,116,INDUSTRIAL,RURAL,California,Monterey,53,King City,"Salinas, CA",12 PM PST, Mar 13,35,OZONE
156,06-053-0006,36.574682,-121.806339,73,COMMERCIAL,RURAL,California,Monterey,53,Monterey,"Salinas, CA",12 PM PST, Mar 13,41,OZONE
157,06-053-0007,36.8044,-121.786895,10,COMMERCIAL,RURAL,California,Monterey,53,Moss Landing,"Salinas, CA",12 PM PST, Mar 13,43,PM2.5
158,06-053-2001,36.51163,-121.441603,47,RESIDENTIAL,SUBURBAN,California,Monterey,53,Gonzales,"Salinas, CA",12 PM PST, Mar 13,33,OZONE
159,06-055-0001,38.296836,-122.290498,8,RESIDENTIAL,URBAN AND CENTER CITY,California,Napa,55,Napa,"Napa, CA",12 PM PST, Mar 13,31,OZONE
160,06-055-0101,38.566553,-122.451063,0,INDUSTRIAL,URBAN AND CENTER CITY,California,Napa,55,Angwin (Pacific Union College),"Napa, CA",12 PM PST, Mar 13,32,OZONE
161,06-057-0001,39.218783,-121.053282,2410,RESIDENTIAL,URBAN AND CENTER CITY,California,Nevada,57,Grass Valley,"Truckee-Grass Valley, CA",12 PM PST, Mar 13,38,OZONE
162,06-057-0002,39.267394,-121.006337,777,RESIDENTIAL,SUBURBAN,California,Nevada,57,Nevada City,"Truckee-Grass Valley, CA",12 PM PST, Mar 13,38,OZONE
163,06-057-0004,39.357963,-120.106586,1811,RESIDENTIAL,SUBURBAN,California,Nevada,57,Truckee,"Truckee-Grass Valley, CA",12 PM PST, Mar 13,14,PM2.5
164,06-057-1002,39.324905,-120.367703,2063,FOREST,RURAL,California,Nevada,57,Soda Springs,"Truckee-Grass Valley, CA",12 PM PST, Mar 13,14,PM2.5
165,06-059-0001,33.821353,-117.91427,128,RESIDENTIAL,SUBURBAN,California,Orange,59,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,31,OZONE
166,06-059-0004,33.65502,-117.88589,18,RESIDENTIAL,SUBURBAN,California,Orange,59,Newport Beach,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
167,06-059-0101,33.795028,-117.951719,29,RESIDENTIAL,URBAN AND CENTER CITY,California,Orange,59,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,29,OZONE
168,06-059-1001,33.656976,-117.929495,15,RESIDENTIAL,SUBURBAN,California,Orange,59,Costa Mesa,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
169,06-059-2001,33.627244,-117.691163,137,RESIDENTIAL,SUBURBAN,California,Orange,59,El Toro,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,38,OZONE
170,06-059-2022,33.63003,-117.67593,161,RESIDENTIAL,SUBURBAN,California,Orange,59,Mission Viejo,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,38,OZONE
171,06-059-3002,33.795849,-118.03284,10,RESIDENTIAL,SUBURBAN,California,Orange,59,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,29,OZONE
172,06-059-4001,33.545869,-117.781435,12,COMMERCIAL,URBAN AND CENTER CITY,California,Orange,59,Laguna Beach,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,38,OZONE
173,06-059-5001,33.92513,-117.95264,82,RESIDENTIAL,SUBURBAN,California,Orange,59,La Habra,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,31,OZONE
